Name EN,Name CN
Eternal Champions - Challenge from the Dark Side (Europe) (Beta) (1995-06-09),永恒之冠 - 黑暗之挑战
Fatal Fury Special (Europe) (Beta) (1995-02-23),饿狼传说 - 特别版
Lethal Enforcers II - Gun Fighters (Europe) (Beta) (1994-09-23),致命杀手2
Psygnosis Christmas Sampler (Europe),Psygnosis圣诞采样器
"Lawnmower Man, The (Europe) (Demo)",天才除草人
Mickey Mania (Europe) (Demo) (Mega Sega),米奇狂想者
BC Racers (Europe) (Demo) (Yellow Disc),公元前赛车
Lethal Enforcers II - Gun Fighters (Europe) (Demo),致命杀手2
Samurai Shodown (Europe) (Demo),侍魂
TimeCop (Europe) (Demo),时间警察
FIFA International Soccer - Championship Edition (Europe) (Demo) (Alt),FIFA国际足球
"Adventures of Batman and Robin, The (Europe)",蝙蝠侠和罗宾的冒险
Fatal Fury Special (Europe),饿狼传说 - 特别版
"Marko's Magic Football (Europe) (En,Fr,De,Es)",马可的魔法足球
Samurai Shodown (Europe),侍魂
Revengers of Vengeance (USA),战斗幻想
Wild Woody (USA),狂野胡迪
"San Diego Zoo Presents... The Animals!, The (Europe)",圣地亚哥动物园
Android Assault - The Revenge of Bari-Arm (USA),巴里臂的复仇
Eternal Champions - Challenge from the Dark Side (USA) (Beta) (1995-05-11),永恒之冠 - 黑暗之挑战
Make My Video - Marky Mark and the Funky Bunch (USA) (Beta) (1992-12-11),制作我的视频 - Marky Mark and the Funky Bunch
Make My Video - INXS (USA) (Beta) (1992-12-15),制作我的视频 - INXS
"Sensible Soccer (Europe) (En,Fr,De,It)",冠军足球94
Make My Video - Kris Kross (Europe),制作我的视频 - Kris Kross
Bill Walsh College Football (Europe),比尔沃尔什大学美式足球
"Dragon's Lair (Europe) (En,Fr,De,It)",龙穴历险记
Lords of Thunder (Europe),雷霆之王
PowerMonger (Europe),权力征战
Kids on Site (Europe) (RE-1),儿童在现场
Jurassic Park (Germany),侏罗纪公园
Dungeon Explorer (Europe),魔洞战记
Fahrenheit (France),幻象杀手
"Lawnmower Man, The (Europe)",天才除草人
Starblade (Europe),星空之刃
Jurassic Park (France),侏罗纪公园
Prize Fighter (Europe) (Disc 1),赏金战士
Prize Fighter (Europe) (Disc 2),赏金战士
Jurassic Park (Spain),侏罗纪公园
Mighty Morphin Power Rangers (Europe),恐龙战队
Night Trap (France) (Disc 1),午夜陷阱
Night Trap (France) (Disc 2),午夜陷阱
"Syndicate (Europe) (En,Fr,De)",极道枭雄
Tomcat Alley (France),雄猫巷
Tomcat Alley (Spain),雄猫巷
Wonder Dog (Europe),神奇狗
Corpse Killer (Europe) (Mega-CD 32X),屠尸者
Night Trap (Europe) (Disc 1) (Mega-CD 32X),午夜陷阱
Night Trap (Europe) (Disc 2) (Mega-CD 32X),午夜陷阱
Slam City with Scottie Pippen (Europe) (Disc 4) (Smash) (Mega-CD 32X),大满贯城市
Slam City with Scottie Pippen (Europe) (Disc 3) (Mad Dog) (Mega-CD 32X),大满贯城市
Slam City with Scottie Pippen (Europe) (Disc 2) (Juice) (Mega-CD 32X),大满贯城市
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers) (Mega-CD 32X),大满贯城市
Supreme Warrior (Europe) (Disc 1),至尊战士
Supreme Warrior (Europe) (Disc 2),至尊战士
Supreme Warrior (Europe) (Disc 2) (Mega-CD 32X),至尊战士
Supreme Warrior (Europe) (Disc 1) (Mega-CD 32X),至尊战士
Surgical Strike (Europe),外科手术式打击
Formula One World Championship - Beyond the Limit (Europe),F1方程式赛车世界冠军 - 超越极限
Power Factory (Europe),能源工厂
Flashback - The Quest for Identity (USA),记忆闪回
Bug Blasters - The Exterminators (USA) (Unl) (Rerelease),虫子爆破器 - 灭虫者
Slam City with Scottie Pippen (Europe) (Disc 3) (Mad Dog),大满贯城市
Slam City with Scottie Pippen (Europe) (Disc 4) (Smash),大满贯城市
Burning Fists - Force Striker (USA) (Unl),燃烧的拳头
Sonic the Hedgehog CD (Japan) (Demo),索尼克CD
Lunar - Eternal Blue (Japan) (Demo),露娜2 - 永恒蔚蓝
Microcosm (Japan) (Demo),微观世界
Yumemi Yakata no Monogatari (Japan) (Demo),梦见馆物语
Compton's Interactive Encyclopedia (USA) (Version 2.10) (RE2),康普顿互动百科全书
Dragon's Lair (USA) (Demo),龙穴历险记
Space Ace (USA) (Demo),太空王牌
"Colors of Modern Rock, The (USA)",现代摇滚的色彩
Final Fight CD (USA) (Alt 1),快打旋风CD
Corpse Killer (USA),屠尸者
ESPN National Hockey Night (USA),ESPN曲棍球之夜
Ultraverse Prime (USA),最初光芒
Make My Video - INXS (USA),制作我的视频 - INXS
Prize Fighter (USA) (Disc 2),赏金战士
Shadow of the Beast II (USA),野兽之影2
Robo Aleste (USA),电忍雅士达
Supreme Warrior (USA) (Disc 1) (Fire & Earth) (Sega CD 32X),至尊战士
Supreme Warrior (USA) (Disc 2) (Wind & Fang Tu) (Sega CD 32X),至尊战士
Final Fight CD (USA),快打旋风CD
"Space Adventure, The - Cobra - The Legendary Bandit (USA)",太空冒险
Panic! (USA) (RE),恐慌
Keio Flying Squadron (USA),庆应游击队
"Dune (USA) (En,Fr,De,Es,It)",沙丘
Dungeon Master II - Skullkeep (USA) (RE3),地下城主2 - 骷髅堡
"Flink (USA) (En,Fr,De,Es,Nl)",弗林克的不幸历险
Prize Fighter (USA) (Disc 1),赏金战士
Slam City with Scottie Pippen (USA) (Disc 1) (Fingers),大满贯城市
Slam City with Scottie Pippen (USA) (Disc 3) (Mad Dog),大满贯城市
Make My Video - Kris Kross (USA),制作我的视频 - Kris Kross
"Masked Rider, The - Kamen Rider ZO (USA)",假面骑士ZO
Lunar - The Silver Star (USA),露娜 - 银星和声
Ecco the Dolphin (Europe) (Rerelease),海豚历险记1
Microcosm (Europe),微观世界
"San Diego Zoo Presents... The Animals!, The (USA)",圣地亚哥动物园
Links - The Challenge of Golf (USA) (RE),林克斯 - 高尔夫的挑战
My Paint (USA),我的画板
MegaRace (USA),疯狂大飙车
Wolfchild (USA),狼童
Sonic the Hedgehog CD (Japan) (Beta) (1993-08-01),索尼克CD
Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A) (Alt),世嘉经典街机游戏合集 - 5合1
Novastorm (USA),诺瓦风暴
Power Factory (USA),能源工厂
Power Monger (USA),权力征战
NFL Football Trivia Challenge (USA),NFL橄榄球挑战赛
Trivial Pursuit (USA),冷知识问答
Radical Rex (USA),雷克斯龙冒险
Beast II (Europe) (Demo),野兽之影2
Compton's Interactive Encyclopedia (USA) (Version 2.01S),康普顿互动百科全书
"Championship Soccer '94 (USA) (En,Fr,De,It)",冠军足球94
BC Racers (USA),公元前赛车
Demolition Man (USA),越空狂龙
"Lawnmower Man, The (USA)",天才除草人
Night Trap (USA) (Disc 1) (Rerelease) (Alt),午夜陷阱
Night Trap (USA) (Disc 2) (Rerelease) (Alt),午夜陷阱
Crime Patrol (USA),罪恶刑警
Mad Dog II - The Lost Gold (USA),疯狗麦基利2
Battle Frenzy (USA) (Unl),战斗狂热
BattleTech - Gray Death Legion (USA) (Unl),战斗机甲
Citizen X (USA) (Unl),公民X
Note! Color Mechanica (USA) (Unl),注意!彩色力学
Sonic MegaMix (USA) (Unl),索尼克MEGAMIX
Super Strike Trilogy (USA) (Unl),超级打击三部曲
Ecco the Dolphin (Australia),海豚历险记1
Pitfall - The Mayan Adventure (Europe),探宝奇兵 - 玛雅历险记
Earthworm Jim - Special Edition (USA) (RE),蚯蚓战士
ESPN NBA Hangtime '95 (USA),ESPN NBA篮球悬空瞬间95
Fatal Fury Special (USA),饿狼传说 - 特别版
Third World War (USA),第三次世界大战
"Adventures of Willy Beamish, The (USA) (Alt)",威利奇遇记
