Name EN,Name CN
Power League III (Japan),超级棒球联盟3
Power Sports (Japan),超级运动员
Power Sports (Japan) (Wii U Virtual Console),超级运动员
Power Tennis (Japan),超级网球
Pro Tennis - World Court (Japan),世界网球公开赛
Pro Yakyuu World Stadium (Japan),世界网球
Pro Yakyuu World Stadium '91 (Japan),世界网球'91
Psycho Chaser (Japan) (En),闪灵悍将
Psychosis (USA),闪灵悍将
Puzzle Boy (Japan),解谜小子
Puzznic (Japan) (En),迷魂方块
Quiz Toukou Shashin (Japan) (Unl),写真机智问答
R-Type (USA),异形战机
R-Type I (Japan) (En),异形战机
R-Type I (Hong Kong) (En) (Unl),异形战机
R-Type II (Japan) (En) (V1.1),异形战机2
R-Type II (Japan) (En),异形战机2
R-Type II (Hong Kong) (En) (Unl),异形战机2
Rabio Lepus Special (Japan),罗比
Racing Damashii (Japan),摩托车大赛
Raiden (Japan) (En),雷电
Raiden (USA),雷电
Rastan Saga II (Japan) (En),王者之剑2
Rock-On (Japan),苍穹秘火
Ryuukyuu (Japan),琉球
S.C.I. - Special Criminal Investigation (Japan),追踪刑警
Sadakichi Seven - Hideyoshi no Ougon (Japan),秀吉之黄金
Saigo no Nindou - Ninja Spirit (Japan),最后的忍道
Saigo no Nindou - Ninja Spirit (Japan) (Wii U Virtual Console),最后的忍道
Salamander (Japan) (En),沙罗曼蛇
Salamander (World) (Wii U Virtual Console),沙罗曼蛇
Salamander (Japan) (PC Engine Mini),沙罗曼蛇
Samurai-Ghost (USA),源平讨魔传
Sekigahara (Japan),关原之役
Sengoku Mahjong (Japan),战国麻雀
Shanghai (Japan),上海
Shinobi (Japan),忍
Shiryou Sensen - War of the Dead (Japan),死灵战线
Shockman (USA),改造超人
Shougi Shodan Icchokusen (Japan),将棋-初段一直线
Shougi Shoshinsha Muyou (Japan),将棋-初心者无用
SideArms (USA),绝对合体
Silent Debuggers (Japan),宇宙警备队
Silent Debuggers (USA),宇宙警备队
Sindibad - Chitei no Daimakyuu (Japan),地底大魔宫
Sinistron (USA),激烈战斗
Skweek (Japan) (En),毛球历险记
Soldier Blade (USA),刀锋战机
Soldier Blade (Japan) (En),刀锋战机
"Soldier Blade (USA, Europe) (Wii U Virtual Console)",刀锋战机
Soldier Blade (Japan) (En) (Wii U Virtual Console),刀锋战机
Soldier Blade - Special Version (Japan) (En),刀锋战机 - 特别版
Somer Assault (USA),以牙还牙
Son Son II (Japan),西游记2
Sonic Spike - World Championship Beach Volleyball (USA),海滩排球
Soukoban World (Japan),仓库番
Space Harrier (Japan) (En),太空哈利
Space Harrier (USA),太空哈利
Space Invaders - Fukkatsu no Hi (Japan),太空入侵者
Spin Pair (Japan) (En),钻石方块
Spiral Wave (Japan),旋风任务
