EN Name,CN Name
Sailor Fuku Bishoujo Zukan Vol. 4 (Japan) (Unl),美少女图鉴4
Sailor Fuku Bishoujo Zukan Vol. 5 (Japan) (Unl),美少女图鉴5
Sailor Fuku Bishoujo Zukan Vol. 6 (Japan) (Unl),美少女图鉴6
Samurai Sword (Japan),武士之剑
Santa Claus no Takarabako (Japan),圣诞老人的宝箱
SD Gundam World - Gachapon Senshi - Scramble Wars (Japan),SD高达世界 - 胶囊战记
SD Gundam World - Gachapon Senshi - Scramble Wars (Japan) (Disk Writer),SD高达世界 - 胶囊战记
SD Gundam World - Gachapon Senshi - Scramble Wars (Japan) (Rev 1),SD高达世界 - 胶囊战记
SD Gundam World - Gachapon Senshi - Scramble Wars (Japan) (Rev 1) (3DS Virtual Console),SD高达世界 - 胶囊战记
SD Gundam World - Gachapon Senshi - Scramble Wars (Japan) (Rev 1) (Wii Virtual Console),SD高达世界 - 胶囊战记
SD Gundam World - Gachapon Senshi - Scramble Wars - Map Collection (Japan) (Disk Writer),SD高达世界 - 胶囊战记 - 地图收集
Section-Z (Japan),绝对合体
Seiken Psychocalibur - Majuu no Mori Densetsu (Japan),圣剑除魔
Sexy Invaders (Japan) (Unl),性感侵略者
Sexy Yakyuuken Adventure II - Gal's Dungeon Part II (Japan) (Unl),性感野球拳冒险2 - 女子地牢2
Shanghai (Japan) (Proto) (1986-10-16),上海
Shanghai II (Japan) (Proto) (Dragon Layout),上海2
Shanghai II (Japan) (Proto) (Scorpion Layout),上海2
Silviana - Ai Ippai no Little Angel (Japan),母女之爱
Smash Ping Pong (Japan),桌球大赛
Soccer (Japan),足球
Solomon no Kagi (Japan) (Disk Writer),所罗门之匙
Souseiki Fammy - ROM-QD for 256K+64K (Japan) (Unl),创世纪Fammy - 游戏转储器
Suishou no Dragon (Japan),水晶之龙
Sunsoft Dev Disk Lot - 'D167B23' no. 1 (Japan),Sunsoft 开发磁牒合集 - 'D167B23' 1
Sunsoft Dev Disk Lot - 'D167B23' no. 2 (Japan),Sunsoft 开发磁牒合集 - 'D167B23' 2
Sunsoft Dev Disk Lot - 'D167B23' no. 3 (Japan),Sunsoft 开发磁牒合集 - 'D167B23' 3
Sunsoft Dev Disk Lot - 'D167B23' no. 4 (Japan),Sunsoft 开发磁牒合集 - 'D167B23' 4
Sunsoft Dev Disk Lot - 'D167B23' no. 5 (Japan),Sunsoft 开发磁牒合集 - 'D167B23' 5
Sunsoft Dev Disk Lot - 'D167B23' no. 6 (Japan),Sunsoft 开发磁牒合集 - 'D167B23' 6
Sunsoft Dev Disk Lot - 'E180L05' no. 1 (Japan),Sunsoft 开发磁牒合集 - 'E180L05' 1
Sunsoft Dev Disk Lot - 'E180L05' no. 2 and no. 3 (Japan),Sunsoft 开发磁牒合集 - 'E180L05' 2 和 3
Sunsoft Dev Disk Lot - 'E180L05' no. 4 (Japan),Sunsoft 开发磁牒合集 - 'E180L05' 4
Sunsoft Dev Disk Lot - 'F087D22' (Japan),Sunsoft 开发磁牒合集 - 'F087D22'
Sunsoft Dev Disk Lot - 'F266F13' (Japan),Sunsoft 开发磁牒合集 - 'F266F13'
Sunsoft Dev Disk Lot - 'G188D21N' no. 1 (Japan),Sunsoft 开发磁牒合集 - 'G188D21N' 1
Sunsoft Dev Disk Lot - 'G188D21N' no. 2 (Japan),Sunsoft 开发磁牒合集 - 'G188D21N' 2
Sunsoft Dev Disk Lot - 'G188D21N' no. 3 (Japan),Sunsoft 开发磁牒合集 - 'G188D21N' 3
Sunsoft Dev Disk Lot - 'J226I22' no. 1 (Japan),Sunsoft 开发磁牒合集 - 'J226I22' 1
Sunsoft Dev Disk Lot - 'J226I22' no. 3 (Japan),Sunsoft 开发磁牒合集 - 'J226I22' 3
Sunsoft Dev Disk Lot - 'K057G06' (Japan),Sunsoft 开发磁牒合集 - 'K057G06'
Super Boy Allan (Japan),超级儿童算术
Super Lode Runner (Japan),超级淘金者
Super Lode Runner II (Japan) (Disk Writer),超级淘金者2
Super Mario Bros. (Japan),超级马里奥
Super Mario Bros. 2 (Japan) (En),超级马里奥2
Super Mario Bros. 2 (Japan) (En) (DV 2),超级马里奥2
"Super Mario Bros. 2 (World) (GameCube, Wii and Wii U Virtual Console)",超级马里奥2
Super Mario Bros. 2 (Japan) (En) (Game & Watch - Super Mario Bros.),超级马里奥2
Super Yume Kojo (Japan) (Pirate),超级梦工厂
Tama & Friends - Sanchoume Daibouken (Japan),三丁目大冒险
