EN Name,[TBD] Name
Labyrinth (Japan) (Alt),迷宫
Labyrinth (Japan),迷宫
Ladder Building (Japan),
Laptick 2 (Japan),
Le Mans 2 (Europe),
Legendly Knight (Korea) (Alt 1),
Legendly Knight (Korea),
Leonard (Spain),
Lode Runner (Japan) (Alt 1),
Lode Runner (Japan),
Lode Runner II (Japan),
Lord Over (Japan),
Lot Lot (Japan),
Lunar Ball (Japan),
Lupin Sansei - Babylon no Ougon Densetsu (Japan) (Alt),亚森罗平三世-巴比伦的黄金传说
Lupin Sansei - Babylon no Ougon Densetsu (Japan),亚森罗平三世-巴比伦的黄金传说
Lupin Sansei - Cagliostro no Shiro (Japan) (Alt),亚森罗平三世-卡里欧斯托罗之城
Lupin Sansei - Cagliostro no Shiro (Japan),亚森罗平三世-卡里欧斯托罗之城
M36 - A Life Planet (Japan),
MIDI Macro (Japan) (Program),
MSX 21 (Japan),
MSX Audio (Japan) (FS-CA1) (Program),
MSX Audio (Japan) (HX-MU900) (Program),
MSX Baseball (Japan) (Alt 1),
MSX Baseball (Japan),
MSX Baseball II National (Japan),
MSX Basic-kun (Japan) (Program),
MSX Basic-kun Plus (Japan) (Program),
MSX Bunsetsu Henkan Jisyo (Japan) (Program),
MSX Derby (Japan),
MSX Rugby (Japan),
MSX Soccer (Japan) (Alt 1),
MSX Soccer (Japan),
MSX-Aid (Japan) (Program),
MSX-Logo (Netherlands) (Program),
Mac Attack (Europe),
Machinegun Joe vs The Mafia (Japan),
Macross (Japan) (Alt 1),
Macross (Japan),
Mad Rider (Japan) (Alt),疯狂车手
Mad Rider (Japan),疯狂车手
Magical Kid Wiz (Japan) (Alt 1),
Magical Kid Wiz (Japan) (Alt 2),
Magical Kid Wiz (Japan),
Magical Tree (Japan) (Alt 1),
Magical Tree (Japan),
Magnum Prohibition 1931 (Japan) (Alt 1),
Magnum Prohibition 1931 (Japan),
Maison Ikkoku - Omoide no Photograph (Japan),相聚一刻
Malaya no Hibou (Japan),马来亚的秘宝
Manes (Japan) (Alt 1),
Manes (Japan) (Alt 2),
Manes (Japan),
Mappy (Japan) (Alt 1),
Mappy (Japan) (Alt 2),
Mappy (Japan),
Marchen Veil I (Japan),
Marine Battle (Japan),
Mars II (Japan),
Mashou no Tachi Goblin (Japan) (Alt 1),
Mashou no Tachi Goblin (Japan),
Master Chess (Europe),
Megalopolis SOS (Japan) (Alt 1),
Megalopolis SOS (Japan) (Alt 2),
Megalopolis SOS (Japan),
Meikyuu Shinwa (Japan) (Alt 1),
Meikyuu Shinwa (Japan),
Metal Gear (Europe),合金装备
Metal Gear (Japan),合金装备
Metal Gear 2 - Solid Snake (Japan) (Demo),合金装备2-固体蛇
Metal Gear 2 - Solid Snake (Japan),合金装备2-固体蛇
Midnight Brothers (Japan) (Alt 1),
Midnight Brothers (Japan),
Midnight Building (Japan),
Midway (Japan),
Mil Caras (Spain),
Mini Golf (Japan) (Alt 1),
Mini Golf (Japan),
Mirai (Japan),未来
Mirai - Future (Japan),
Mississippi Satsujinjiken (Japan),南海道杀人事件
Moai no Hibou (Japan),
Moai no Hibou (Korea),
Mobile Planet Suthirus - Approach from the Westgate (Japan),
Mobile-Suit Gundam - Last Shooting (Japan) (Alt 1),
Mobile-Suit Gundam - Last Shooting (Japan),
Moero!! Nettou Yakyuu '88 (Japan),燃烧!热斗野球88
Mokarimakka (Japan),
Mole (Japan),
Mole Mole 2 (Japan),
Monkey Academy (Japan) (Alt 1),
Monkey Academy (Japan) (Alt 2),
Monkey Academy (Japan) (Alt 3),
Monkey Academy (Japan),
Monmon Kaibutsu (Japan),闷闷怪物
Monster's Fair (Japan),
Moon Landing (Japan),
Moon Patrol (Japan),
Moonsweeper (Japan),
