Name EN,Name CN
Yarudora Portable - Kisetsu o Dakishimete (Asia),互动剧场-季节拥抱
Yarudora Portable - Double Cast (Asia),互动剧场-双重角色
Kuru Kuru Chameleon (Asia),回转逆转变色龙
"Shin Megami Tensei - Devil Summoner (Japan, Asia)",真女神转生-恶魔召唤师
"Karakuri (Japan, Asia)",遗迹大冒险
"Shinki Gensou - SSII Unlimited Side (Japan, Asia)",新纪幻想-圣魔战记2
Hammerin' Hero (USA),出发!源先生-夕阳下的大工物语
Jitsuroku Oniyome Nikki - Shiuchi ni Taeru Otto no Rifujin Taiken Adventure (Japan),鬼嫁日记
Jui - Dr. Touma Jotarou (Japan),呪医-杜马丈太郎
Sanguozhi V (Asia),三国志5
"Simple 2500 Series Portable!! Vol. 2 - The Tennis (Japan, Asia)",廉价2500系列2-网球
"Passport to... Prague (Europe) (En,Fr,De,Es,It)",布拉格护照
Power Stone Collection (Europe),能量宝石
Tiger Woods PGA Tour 06 (Europe),泰格伍兹高尔夫球巡回赛2006
MLB 08 - The Show (Korea),美国职棒大联盟08
Little Britain - The Video Game (Europe),小不列颠
SNK Arcade Classics Vol. 1 (Europe),SNK经典街机游戏合集1
"Kazook (Europe) (En,Fr,De,It)",极限派对
"Passport to... London (Europe) (En,Fr,De,Es,It)",伦敦护照
"Sims 2, The - Castaway (Europe) (En,Fr,De,Es,It,Nl,Pt)",模拟人生2-生存游戏
"Passport to... Paris (Europe) (En,Fr,De,Es,It)",巴黎护照
"Bomberman (Europe) (En,Fr,De,Es,It)",炸弹人-携带版
Eyeshield 21 - Portable Edition (Japan),极速达阵21-携带版
"Shinobido - Tales of the Ninja (Europe) (En,Fr,De,Es,It)",忍道-焰
Shin Sangoku Musou - Multi Raid (Japan),真三国无双-联合突袭
"Dungeon Explorer (Europe) (En,Fr,De,Es,It)",迷宫探险家-盟约之门
Driver 76 (Europe),横冲直撞76
"Ape Academy 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",比波猴学院2
"LocoRoco 2 (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Ko,Ru)",乐克乐克2
"Passport to... Barcelona (Europe) (En,Fr,De,Es,It)",巴塞罗纳护照
"Monster Hunter Freedom Unite (Europe) (En,Fr,De,Es,It) (Demo)",怪物猎人2G-携带版
Samurai Warriors - State of War (Europe),战国无双
Guilty Gear Judgment (Europe),罪恶装备-审判
"Everybody's Golf 2 (Europe, Canada) (En,Fr,De,Es,It)",大众高尔夫2-携带版
Midway Arcade Treasures - Extended Play (Europe),Midway经典街机游戏合集
Capcom Classics Collection Remixed (Europe),卡普空经典游戏合集
Major League Baseball 2K9 (Japan),美国职业棒球大联盟2009
Need for Speed - Most Wanted - 5-1-0 (Japan),极品飞车-最高通缉
Full Auto 2 - Battlelines (USA),全能赛车2-火线追击
Alien Syndrome (USA),异形症侯群
Star Wars - Battlefront - Renegade Squadron (USA),星球大战-前线-叛变的军团
Ape Escape - On the Loose (USA),捉猴啦P!
Coded Arms (USA),机密武装
Metal Slug Anthology (USA),合金弹头精选集
"Monster Hunter Freedom Unite (USA) (En,Fr,De,Es,It)",怪物猎人2G-携带版
Star Ocean - First Departure (USA),星之海洋-初次启航
Star Ocean - Second Evolution (USA),星之海洋-二次进化
Valhalla Knights (USA),瓦尔哈拉骑士
Armored Core - Formula Front Extreme Battle (USA),装甲核心-方程式前线-终极战役
Bleach - Heat the Soul 3 (Japan),死神-灵魂升温3
"Secret Agent Clank (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl)",秘密特工叮当
"Manhunt 2 (Europe) (En,Fr,De,Es,It)",侠盗猎魔2
"Every Extend Extra (Europe) (En,Fr,De,Es,It)",音乐爆破
"Football Manager Handheld 2008 (Europe) (En,Fr,Es,It)",足球经理2008
"PES 2008 - Pro Evolution Soccer (Europe) (En,Fr,De,Es,It,Pt)",实况足球2008
"Football Manager Handheld (Europe) (En,Fr,De,Es,It)",足球经理
Crisis Core - Final Fantasy VII (Europe),最终幻想7-危机核心
Dissidia Final Fantasy (USA),最终幻想-纷争
"Prince of Persia - Rival Swords (Europe) (En,Fr,De,Es,It)",波斯王子-宿敌之剑
"Burnout Legends (Europe, Australia) (En,Fr,De,Es,It,Nl) (v1.01)",火爆狂飙-传奇
Tiger Woods PGA Tour 07 (Europe),泰格伍兹高尔夫球巡回赛2007
Rock Band Unplugged (USA),摇滚乐队-不插电
Jackass - The Game (USA),蠢才秀
Crash of the Titans (USA),古惑狼-泰坦
"Daxter (USA) (En,Fr,De,Es,It)",达斯特
